,name,sub_category,main_category,deadline,launched,status,pledged_usd,goal_usd,duration,year,quarter,profit
721,OMEGA NIGHTCLUB (Canceled),spaces,dance,23/01/2016,24/11/2015,canceled,20,4.00E+05,60,2015,Q4,NA
1222,OMEGA ULTRA LOUNGE,spaces,dance,01/02/2016,03/12/2015,failed,175,30000,60,2015,Q4,NA
1807,OMG : Crowd-Source Choreography,dance,dance,11/12/2010,24/11/2010,failed,50,499,17,2010,Q2,NA
2548,OmniFunk - a new dance style celebrating humanity's oneness,dance,dance,27/10/2013,27/09/2013,failed,832.95,12765.48,30,2013,Q2,NA
1703,On 3 On Film,performances,dance,05/08/2015,06/07/2015,successful,801,500,30,2015,Q2,0.602
3531,On Beauty,performances,dance,13/12/2017,13/11/2017,successful,3275,3000,30,2017,Q2,0.091666667
1751,On Pointe,dance,dance,25/11/2016,26/10/2016,successful,21201,15000,30,2016,Q2,0.4134
50,On Pointe Ballet: Here is your chance to make your POINTE!,workshops,dance,07/09/2014,08/08/2014,failed,375,2100,30,2014,Q2,NA
1489,"On the DL Presents ""Working America""",dance,dance,31/05/2013,01/05/2013,successful,24666.09,20000,30,2013,Q2,0.2333045
1879,ON THE MOVE WITH PUSH ï #pushmoves (Canceled),performances,dance,04/10/2015,05/08/2015,canceled,60,5000,60,2015,Q4,NA
2212,On the Road in 2018,performances,dance,27/12/2017,27/11/2017,successful,6930,6000,30,2017,Q2,0.155
1342,On the road with Core Project Outreach,dance,dance,16/07/2011,28/05/2011,successful,2432,2000,49,2011,Q4,0.216
3631,On the Road with The Lonely Visitors,dance,dance,13/07/2010,10/06/2010,successful,1445,1000,33,2010,Q3,0.445
1811,"Once Upon A Dance, MI",residencies,dance,23/05/2015,23/04/2015,failed,0,7000,30,2015,Q2,NA
576,"Once Upon A Dance, MI: New equipment",dance,dance,07/09/2015,08/08/2015,failed,1,1500,30,2015,Q2,NA
251,Once Upon Each Time,performances,dance,18/09/2014,19/08/2014,failed,2040,5000,30,2014,Q2,NA
2064,ONE - A dance and choreography showcase,performances,dance,14/02/2015,15/01/2015,successful,2560,2500,30,2015,Q2,0.024
2565,one in six: a new dance by KOREresponse,dance,dance,15/09/2011,15/08/2011,successful,3075,3000,31,2011,Q3,0.025
