"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"6656","Titles Are Hard","festivals","theater",2016-07-29,2016-06-13,"successful",1601,1200,46,"2016","Q4",0.334166666666667
"6657","DBR's SYMPHONY FOR THE DANCE FLOOR","theater","theater",2011-10-11,2011-09-02,"successful",7605,7500,39,"2011","Q3",0.014
"6658","'The Hive' - By The Human Zoo Theatre Company","theater","theater",2013-10-05,2013-09-04,"successful",4047.43,1997.35,31,"2013","Q3",1.02639997997346
"6659","Bring Brundibar Back to Eastern NC","theater","theater",2014-03-23,2014-03-03,"successful",2210,2000,20,"2014","Q2",0.105
"6660","Midsummer Night's Eve Festival 2012","theater","theater",2011-08-28,2011-06-29,"failed",205,10000,60,"2011","Q4",NA
"6661","The Man In The Iron Mask. The Reading. The Demo.","theater","theater",2011-05-17,2011-04-17,"successful",2255,2000,30,"2011","Q2",0.1275
"6662","Novaya Zemlya, or A Strange, New Land","theater","theater",2013-01-19,2013-01-03,"successful",2025,2000,16,"2013","Q2",0.0125
"6663","A Suicide Note from a Cockroach... @ the Mad River Festival","theater","theater",2011-07-03,2011-06-18,"successful",1110,1000,15,"2011","Q1",0.11
"6664","Epidemic Theatre Needs A Home","theater","theater",2012-01-10,2011-11-11,"failed",1357,5000,60,"2011","Q4",NA
"6665","World Premier of ANTIMAN","theater","theater",2011-04-07,2011-02-25,"successful",6500.5,5000,41,"2011","Q3",0.3001
"6666","A South Bay Rocky Horror Halloween","musical","theater",2016-02-13,2015-12-15,"failed",656,15000,60,"2015","Q4",NA
"6667","GET SCHOOLED","theater","theater",2017-01-19,2017-01-05,"failed",20,3400,14,"2017","Q1",NA
"6668","Feelgood Academy The Musical","musical","theater",2014-09-08,2014-08-10,"failed",2796.9,12986.17,29,"2014","Q2",NA
"6669","CABARET","theater","theater",2014-03-01,2014-01-24,"failed",254,15000,36,"2014","Q3",NA
"6670","Red, White, [Black & Blue]: Uncharged at Guantánamo","theater","theater",2014-02-22,2014-01-21,"successful",5145,5000,32,"2014","Q3",0.029
"6671","Eager to Lose","theater","theater",2011-11-09,2011-10-10,"successful",2675,2500,30,"2011","Q2",0.07
"6672","The Age of Reason, a dance theater adaptation!","theater","theater",2011-08-27,2011-07-13,"successful",2090,2000,45,"2011","Q3",0.045
"6673","Fund ""Lonely Planet""","theater","theater",2011-08-22,2011-06-10,"successful",525,400,73,"2011","Q4",0.3125
"6674","Richard III - Presented by REBATEnsemble/Theatre Off Jackson","plays","theater",2017-05-03,2017-03-13,"successful",1735,1500,51,"2017","Q4",0.156666666666667
"6675","Arts in Conflict","musical","theater",2015-02-28,2015-01-14,"failed",154.88,15184.18,45,"2015","Q3",NA
"6676","Spring Awakening","theater","theater",2013-03-30,2013-02-27,"successful",4036,4000,31,"2013","Q3",0.009
"6677","TREK: A Spoof Musical","theater","theater",2012-01-06,2011-12-04,"successful",1945,1500,33,"2011","Q3",0.296666666666667
"6678","The Carnival of Lost Souls - Circus/Cabaret/Musical Theatre","musical","theater",2015-07-12,2015-05-13,"canceled",251.65,5551.03,60,"2015","Q4",NA
"6679","Gruesome Playground Injuries at the Park Bar","theater","theater",2012-07-29,2012-06-29,"successful",1171,1000,30,"2012","Q2",0.171
"6680","(re)Facing Angela","theater","theater",2013-07-03,2013-06-11,"successful",3655,3500,22,"2013","Q2",0.0442857142857143
"6681","Imagined, Armenia through Shadow Puppetry","theater","theater",2013-03-05,2013-02-13,"successful",3526,3500,20,"2013","Q2",0.00742857142857143
"6682","I Love You, You're Perfect Now Change!","musical","theater",2015-04-16,2015-03-02,"failed",150,9000,45,"2015","Q3",NA
"6683","Children Must Run: An Original Musical","musical","theater",2015-05-01,2015-04-01,"failed",420.79,12330.84,30,"2015","Q2",NA
"6684","COLOR ME","plays","theater",2016-05-23,2016-03-24,"failed",0,2000,60,"2016","Q4",NA
"6685","Brief Looks from the Afterglow, Produced by Cold Basement","theater","theater",2011-06-04,2011-05-04,"successful",565.48,500,31,"2011","Q3",0.13096
"6686","Send 50 Heartbreaks to New Orleans!","theater","theater",2013-09-21,2013-08-29,"successful",3261,2750,23,"2013","Q2",0.185818181818182
"6687","""Head"" written and directed by Kyle Hatley, KCMO","theater","theater",2010-08-10,2010-07-19,"successful",5005,5000,22,"2010","Q2",0.001
"6688","Dallas Solo Fest 2014","theater","theater",2014-03-24,2014-03-04,"successful",1325,1200,20,"2014","Q2",0.104166666666667
"6689","the dreamer examines his pillow, by John Patrick Shanley","theater","theater",2015-03-26,2015-02-26,"successful",2477,2200,28,"2015","Q2",0.125909090909091
"6690","Slanderous Tongues Theatre: A Classical Theatre Ensemble","theater","theater",2010-07-15,2010-05-24,"failed",0,2000,52,"2010","Q4",NA
"6691","Old School Game Show","theater","theater",2013-05-05,2013-04-11,"successful",1660,1500,24,"2013","Q2",0.106666666666667
"6692","Mama's Eggnog (goes to NY for the Samuel French OOBFest.)","festivals","theater",2016-07-06,2016-06-21,"successful",5875,5500,15,"2016","Q1",0.0681818181818182
"6693","The Paradise Project","festivals","theater",2017-08-21,2017-07-21,"failed",367.76,5596.42,31,"2017","Q3",NA
"6694","Bring ""SONNY"" To Toronto This Summer!","plays","theater",2014-06-15,2014-05-16,"successful",14450,13000,30,"2014","Q2",0.111538461538462
"6695","Dog, Pony, Elephant, or Ass? A CoM project.","experimental","theater",2016-11-13,2016-10-14,"failed",250,2500,30,"2016","Q2",NA
"6696","Neil LaBute's reasons to be pretty","theater","theater",2011-06-15,2011-05-02,"successful",1020,600,44,"2011","Q3",0.7
"6697","Time Between Us: A Musical Snapshot -  A Grad Thesis Project","theater","theater",2013-02-14,2012-12-25,"successful",1751,1500,51,"2012","Q4",0.167333333333333
"6698","Into the Clear Blue Sky, presented by Sleepwalkers Theatre","theater","theater",2011-04-05,2011-03-07,"successful",3412,3000,29,"2011","Q2",0.137333333333333
"6699","Alpakalypse Now:  Comedy for the End of Days","theater","theater",2011-06-12,2011-05-13,"successful",705,500,30,"2011","Q2",0.41
"6700","POPE'S EVENT-with Milano Opera's inmates of High Security","musical","theater",2016-06-14,2016-04-15,"failed",1.13,112540.37,60,"2016","Q4",NA
"6701","Send I WAS THE VOICE OF DEMOCRACY to NYC's Dixon Place","theater","theater",2011-11-17,2011-09-29,"successful",1795,975,49,"2011","Q4",0.841025641025641
"6702","Tchaikovsky - A New Stage Play","theater","theater",2013-07-31,2013-06-24,"failed",2,5000,37,"2013","Q3",NA
"6703","The Sister by Joel Heinrich and Hunter Noack","theater","theater",2011-12-13,2011-10-14,"successful",3590.77,3500,60,"2011","Q4",0.0259342857142857
"6704","columbinus","theater","theater",2012-08-31,2012-07-18,"successful",1060,500,44,"2012","Q3",1.12
"6705","Time to Talk to Jane at the Brighton Fringe","experimental","theater",2015-03-31,2015-02-15,"successful",1036.22,444.1,44,"2015","Q3",1.3333033100653
"6706","Valhalla's Pirates -- Real Pirate Ship Project -- Phase 2","theater","theater",2011-11-20,2011-09-21,"failed",25,50000,60,"2011","Q4",NA
"6707","Send The Bad Arm to Edinburgh. Meet the Dodgy Irish Dancer!","plays","theater",2015-03-26,2015-02-24,"successful",19581.26,19338.04,30,"2015","Q2",0.0125772829097467
"6708","Keep the Festival Free!","festivals","theater",2016-04-10,2016-02-17,"failed",790,5500,53,"2016","Q4",NA
"6709","Angels watching over me (play)","plays","theater",2015-05-05,2015-04-19,"failed",0,5000,16,"2015","Q2",NA
"6710","Back By Popular Demand, ""Me & Jesus"" Stage Play","theater","theater",2011-10-21,2011-09-16,"failed",38,4000,35,"2011","Q3",NA
"6711","HeartStop Theatre's production of ""Almost, Maine""","theater","theater",2012-01-07,2011-12-06,"successful",2620,2000,32,"2011","Q3",0.31
"6712","Cinema Project: 2013 - 2014 (Canceled)","theater","theater",2013-08-21,2013-07-22,"canceled",32,10250,30,"2013","Q2",NA
"6713","Strike Theater","theater","theater",2016-04-23,2016-03-24,"successful",45395.34,35000,30,"2016","Q2",0.297009714285714
"6714","On the Road with OSTC","musical","theater",2016-12-24,2016-11-22,"failed",850,5830,32,"2016","Q3",NA
"6715","A Rollicking Adaptation of THE TAMING OF THE SHREW!","theater","theater",2013-04-14,2013-03-15,"successful",2126,2000,30,"2013","Q2",0.063
"6716","Uncle Croupy's Funtastic Funhouse","theater","theater",2013-03-10,2013-01-30,"successful",1006,1000,39,"2013","Q3",0.006
"6717","ETC Theatre presents 'The Real McCoy' by Andrew Moodie!","theater","theater",2014-03-05,2014-02-03,"failed",1302.8,10924.98,30,"2014","Q2",NA
"6718","Look Again: Nothing Is As It Seems. A Musical Drama","theater","theater",2012-10-13,2012-08-14,"failed",205,7500,60,"2012","Q4",NA
"6719","""I Will Speak For Myself""","plays","theater",2014-09-18,2014-09-02,"successful",1142,960,16,"2014","Q2",0.189583333333333
"6720","BLINDSIDED by the Walking Dead - BBTWD","plays","theater",2017-11-18,2017-10-19,"failed",30380,96000,30,"2017","Q2",NA
"6721","Autumn","theater","theater",2012-11-07,2012-10-08,"successful",1300,600,30,"2012","Q2",1.16666666666667
"6722","FJORDS","theater","theater",2011-12-18,2011-11-18,"successful",4734.69,4000,30,"2011","Q2",0.1836725
"6723","Addiction: No One Knows But Me","theater","theater",2011-05-24,2011-03-23,"failed",0,3250,62,"2011","Q4",NA
"6724","Free Donuts","theater","theater",2012-04-06,2012-03-15,"successful",510,500,22,"2012","Q2",0.02
"6725","Ensemble Studio Theatre UNbenefit 2016","theater","theater",2016-06-15,2016-05-03,"successful",60042.87,55000,43,"2016","Q3",0.0916885454545455
"6726","Our Dream of a Larry Graham Performance - Making Memories","musical","theater",2014-08-22,2014-08-07,"failed",11,24000,15,"2014","Q1",NA
"6727","CarryOn Entertainment presents A View From the Bridge","theater","theater",2011-07-25,2011-07-05,"successful",2125,2000,20,"2011","Q2",0.0625
"6728","Three Postcards: Pre-Production Costs","musical","theater",2016-06-05,2016-05-06,"successful",2569,2500,30,"2016","Q2",0.0276
"6729","Young Playwrights' Workshop: A home for creative minds","theater","theater",2011-01-01,2010-12-02,"failed",101,1000,30,"2010","Q2",NA
"6730","Kids Zone start up","spaces","theater",2016-11-01,2016-09-02,"failed",521,11000,60,"2016","Q4",NA
"6731","Kurt Vonnegut's Galapagos (Original Theatrical Adaption)","experimental","theater",2014-07-31,2014-07-01,"successful",11919.85,11300,30,"2014","Q2",0.054853982300885
"6732","What Clocks Measure/Tom's Nightmare - A Weekend Workshop","theater","theater",2013-01-19,2013-01-08,"successful",1025,800,11,"2013","Q1",0.28125
"6733","I Don't Know Why He Loves Me","musical","theater",2016-05-06,2016-03-22,"failed",1,8000,45,"2016","Q3",NA
"6734","Lindsay Benner takes ""Book of Love"" to the Edinburgh Fringe!","festivals","theater",2015-07-18,2015-06-18,"successful",13116,10939,30,"2015","Q2",0.199012706828778
"6735","new theater house presents midsummer","theater","theater",2010-07-18,2010-04-19,"successful",3236,3000,90,"2010","Q4",0.0786666666666667
"6736","The Good Dog","theater","theater",2012-02-26,2012-01-29,"successful",1550,1500,28,"2012","Q2",0.0333333333333333
"6737","Help ""...SINCE CARRIE"" get to Orlando Fringe 2012!!","theater","theater",2012-05-02,2012-03-26,"successful",2335.5,2300,37,"2012","Q3",0.0154347826086957
"6738","The Robot Club","theater","theater",2011-02-26,2011-01-24,"successful",5802.25,5000,33,"2011","Q3",0.16045
"6739","Miracle Day: a new play at 45 Bleecker","theater","theater",2010-05-25,2010-04-06,"successful",1220,1200,49,"2010","Q4",0.0166666666666667
"6740","Secrets the Musical!","musical","theater",2017-05-12,2017-04-28,"failed",128.58,642.88,14,"2017","Q1",NA
"6741","Oil! Fundraising Page","comedy","theater",2017-07-17,2017-05-18,"failed",6.5,1559.03,60,"2017","Q4",NA
"6742","Orange Hanky Productions' ""Day of the Dad""","theater","theater",2011-10-04,2011-09-13,"successful",2510,2500,21,"2011","Q2",0.004
"6743","We're Off... To the Land of Oz!","theater","theater",2012-09-08,2012-08-09,"successful",2076,1800,30,"2012","Q2",0.153333333333333
"6744","LEAF CONEYBEAR GOES TO LONDON!","theater","theater",2012-05-28,2012-04-28,"successful",805,800,30,"2012","Q2",0.00625
"6745","YOUR HOME IS WHERE YOU'RE HAPPY","immersive","theater",2016-12-04,2016-11-20,"successful",708.51,633.54,14,"2016","Q1",0.118335069608865
"6746","F#@KING UP EVERYTHING: Get in on the ground floor of a new rock musical comedy (Canceled)","theater","theater",2009-10-01,2009-08-27,"canceled",275,4800,35,"2009","Q3",NA
"6747","preggers","experimental","theater",2016-05-30,2016-04-28,"successful",3710.55,3608.08,32,"2016","Q3",0.0284001463382187
"6748","First Snow (Canceled)","plays","theater",2014-08-03,2014-06-27,"canceled",2000,17500,37,"2014","Q3",NA
"6749","""Daddy"" at The Hollywood Fringe!!!!","theater","theater",2013-05-27,2013-04-27,"successful",2120,1500,30,"2013","Q2",0.413333333333333
"6750","Poly Bunker Sings!","festivals","theater",2014-06-03,2014-05-10,"successful",2095,2000,24,"2014","Q2",0.0475
"6751","OperaUpClose: The Marriage of Figaro (Costumes)","theater","theater",2014-09-22,2014-09-03,"failed",179.39,2446.26,19,"2014","Q2",NA
"6752","Harborside Shakespeare Company presents ""Romeo and Juliet""","theater","theater",2012-04-26,2012-03-24,"successful",4093,4000,33,"2012","Q3",0.02325
"6753","The Land of Strange Mirrors","immersive","theater",2017-10-21,2017-10-14,"failed",57,25000,7,"2017","Q1",NA
"6754","Five performances of Kellie Roberts' play, Transitions","theater","theater",2011-07-01,2011-06-15,"failed",1250,4900,16,"2011","Q2",NA
"6755","""A Short Trip"" at FringeNYC","theater","theater",2012-08-21,2012-07-26,"successful",2035,2000,26,"2012","Q2",0.0175
"6756","Guardian Theatre, Arts in Education Theatre","spaces","theater",2015-06-07,2015-05-08,"failed",100,10000,30,"2015","Q2",NA
"6757","PEACEMAKER The Musical - The Dream Of Humanity's Child","musical","theater",2016-04-25,2016-03-23,"canceled",726,12500,33,"2016","Q3",NA
"6758","Cabarae - Acrobatic Variety Show (We need your help)","theater","theater",2015-10-12,2015-09-12,"failed",0,150000,30,"2015","Q2",NA
"6759","Violent Delights: A Shakespearean Brawl-esque Sideshow!","theater","theater",2013-07-12,2013-06-19,"successful",4025.88,3000,23,"2013","Q2",0.34196
