"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"112","People with the Occasional Appetite for a Biscuit","photography","photography",2016-03-29,2016-03-04,"failed",1142,5000,25,"2016","Q2",NA
"113","An American in Compiègne","photography","photography",2012-05-11,2012-03-12,"failed",50,3925,60,"2012","Q4",NA
"114","WAXY CHUNKS","photography","photography",2012-04-03,2012-03-20,"successful",1655,1200,14,"2012","Q1",0.379166666666667
"115","TESTIMONIES: Stories of Refugee Children during WW II","photography","photography",2012-10-12,2012-09-05,"successful",3301,2000,37,"2012","Q3",0.6505
"116","Help Support The ""PhotoVoice"" Project","photography","photography",2013-05-12,2013-03-28,"successful",7806,5000,45,"2013","Q3",0.5612
"117","""Hog Heaven"" BBQ Photographic Folio","photography","photography",2013-03-22,2013-02-20,"failed",1000,1500,30,"2013","Q2",NA
"118","BLUES OF NEW YORK STATE","photobooks","photography",2015-02-03,2015-01-14,"failed",104,8000,20,"2015","Q2",NA
"119","""Hugh & the World: A search for himself."" (Canceled)","fine art","photography",2016-03-12,2016-02-11,"canceled",0,1200,30,"2016","Q2",NA
"120","Support and contribute to the ART101010 PROJECT","photography","photography",2010-10-04,2010-08-29,"failed",80,10000,36,"2010","Q3",NA
"121","BARE REALITY: 100 women and their breasts","photobooks","photography",2014-10-11,2014-09-06,"successful",51407.72,17570.16,35,"2014","Q3",1.92585383400037
"122","Document Florida's natural Springs","photography","photography",2012-10-12,2012-09-12,"failed",60,25000,30,"2012","Q2",NA
"123","The Netherlands from above","photography","photography",2015-10-30,2015-09-30,"failed",1.1,3305.09,30,"2015","Q2",NA
"124","Muse photography: Tiffany vol. 2-FINE ART PIN UP","photobooks","photography",2016-11-09,2016-11-03,"successful",815,199,6,"2016","Q1",3.09547738693467
"125","San Antonio Faces of Art","photobooks","photography",2015-11-08,2015-10-09,"failed",6805,21000,30,"2015","Q2",NA
"126","""The Folks of Flint...A Tribute""","people","photography",2017-07-18,2017-06-18,"successful",13008,12000,30,"2017","Q2",0.084
"127","Wild Image Project 2010 Argentina Expedtion","photography","photography",2010-04-26,2010-01-26,"failed",0,3500,90,"2010","Q4",NA
"128","the Sound of Abandon","photobooks","photography",2015-07-24,2015-06-24,"failed",153.15,2187.8,30,"2015","Q2",NA
"129","T.L. Tripp Photography: A Photo A Day Blog","photography","photography",2012-04-01,2012-02-22,"failed",0,1300,39,"2012","Q3",NA
"130","A house, a Home","photobooks","photography",2015-10-29,2015-09-29,"failed",1.1,1101.7,30,"2015","Q2",NA
"131","Follow your dreams-Spain and Portugal- Photobook by Ada&Aga","photobooks","photography",2016-06-11,2016-04-12,"failed",1101.77,3151.13,60,"2016","Q4",NA
"132","Twenty Journey","places","photography",2014-06-26,2014-05-28,"successful",12402,12000,29,"2014","Q2",0.0335
"133","Nightscapes and Time-Lapses: From Field to Photoshop","nature","photography",2016-07-15,2016-06-15,"successful",15773.72,11658.64,30,"2016","Q2",0.352963982076812
"134","Memories Corrupt: A Glitch Photography Art Exhibit","photography","photography",2013-10-04,2013-09-25,"successful",1414.11,550,9,"2013","Q1",1.57110909090909
"135","Fotoskolan Göteborg Graduation book 2014","photobooks","photography",2014-11-27,2014-10-31,"successful",700.53,673.59,27,"2014","Q2",0.0399946555026054
"136","SaltWaterCreations: Fine Ocean & Beach Photography","nature","photography",2015-01-17,2014-12-08,"failed",671,5000,40,"2014","Q3",NA
"137","Life after war. The story of Dubrovnik","photobooks","photography",2014-08-09,2014-07-10,"failed",0,5007.01,30,"2014","Q2",NA
"138","Safety first","people","photography",2015-12-17,2015-11-17,"failed",0,70,30,"2015","Q2",NA
"139","Soldiery British Army Portraits Book & Exhibition","photography","photography",2017-07-19,2017-06-19,"failed",1325.17,2598.38,30,"2017","Q2",NA
"140","Days with the Ambulance","people","photography",2015-04-24,2015-02-23,"failed",46.87,17387.36,60,"2015","Q4",NA
"141","Photobook of children enjoying the Minnesota outdoors.","photography","photography",2012-10-18,2012-09-18,"failed",0,1000,30,"2012","Q2",NA
"142","Craving Experience","people","photography",2015-06-30,2015-06-05,"failed",0,1000,25,"2015","Q2",NA
"143","NO WAY OUT: Life and Death in No Man's Land","photography","photography",2012-07-05,2012-05-21,"failed",1666,8500,45,"2012","Q3",NA
"144","Afghanistan: Between Life and War","photography","photography",2013-12-07,2013-11-07,"successful",19455,17000,30,"2013","Q2",0.144411764705882
"145","Publish two coffee table books by Michael Stokes","photobooks","photography",2016-08-24,2016-08-03,"successful",275269,48250,21,"2016","Q2",4.70505699481865
"146","WANTED: Son Of A Gun teddy bear outlaw","photography","photography",2014-08-10,2014-07-11,"failed",0,16.69,30,"2014","Q2",NA
"147","Ocean Air Shots","places","photography",2014-10-25,2014-09-25,"failed",0,800,30,"2014","Q2",NA
"148","Coffee Table Photo Binder of 'Black & White' Vintage Imagery","photobooks","photography",2014-06-03,2014-05-04,"failed",0,2200,30,"2014","Q2",NA
"149","Women's Expression through Bathroom Graffiti","photography","photography",2014-04-02,2014-03-03,"failed",300,1500,30,"2014","Q2",NA
"150","Capturing the sky's and stars from Northumberland UK","nature","photography",2015-11-24,2015-10-25,"failed",15.05,1505.19,30,"2015","Q2",NA
"151","Postcard from the Falls","photography","photography",2012-11-12,2012-10-13,"failed",7,750,30,"2012","Q2",NA
"152","Of Places and People: A San Francisco Experience","photobooks","photography",2015-02-15,2015-01-13,"successful",6614,4000,33,"2015","Q3",0.6535
"153","INGATHER: Stories of Chicago Chefs' Favorite Farmers (Canceled)","photography","photography",2010-07-18,2010-06-10,"canceled",3495,15000,38,"2010","Q3",NA
"154","Long island city new york art book (Canceled)","photography","photography",2013-11-07,2013-10-08,"canceled",0,1e+07,30,"2013","Q2",NA
"155","Altai Pipeline in Siberia","people","photography",2015-04-14,2015-03-18,"successful",2507.59,2050.69,27,"2015","Q2",0.222803056532192
"156","Finishing Funds for ""Two Women""","photography","photography",2011-04-12,2011-01-11,"successful",5168,5000,91,"2011","Q4",0.0336
"157","Photo's without Copyright from Indonesia sight-seeing","nature","photography",2015-08-05,2015-07-15,"failed",1.09,547.05,21,"2015","Q2",NA
"158","Beach Bodies Travelling Exhibition","photography","photography",2014-08-25,2014-07-11,"failed",0.93,5602.76,45,"2014","Q3",NA
"159","Mean looking men with adorable puppies","photobooks","photography",2014-10-02,2014-09-02,"failed",0,5000,30,"2014","Q2",NA
"160","Born in Stone","fine art","photography",2014-06-28,2014-05-28,"failed",0,12223.79,31,"2014","Q3",NA
"161","Forgotten Detroit","places","photography",2014-10-03,2014-09-03,"failed",0,3500,30,"2014","Q2",NA
"162","African Mission Trip for Children and PHOTOGRAPHY","people","photography",2015-08-03,2015-07-13,"failed",0,4000,21,"2015","Q2",NA
"163","Spectacular Papua New Guinea","photography","photography",2012-01-23,2011-12-09,"failed",414,12000,45,"2011","Q3",NA
"164","Muse Photography: MARIE STARR- Fine art nudes","photobooks","photography",2016-10-03,2016-09-28,"successful",385,199,5,"2016","Q1",0.934673366834171
"165","The End of the World Route 66 Tour","photography","photography",2012-10-13,2012-08-14,"failed",0,33795,60,"2012","Q4",NA
"166","The 99% of us","people","photography",2015-05-01,2015-04-01,"failed",0,1600,30,"2015","Q2",NA
"167","Frankie's Saturn Return photo show and book project. <3","photography","photography",2010-11-10,2010-11-01,"successful",4450.01,3000,9,"2010","Q1",0.483336666666667
"168","Death Couture. (Canceled)","photography","photography",2012-09-13,2012-08-14,"canceled",0,1000,30,"2012","Q2",NA
"169","Perspectives of the Great War (World War One) 1914 - 1918","photobooks","photography",2017-04-30,2017-03-01,"failed",3919.63,21921.89,60,"2017","Q4",NA
"170","Youngstown: A Photographic Perspective","photography","photography",2009-12-10,2009-09-13,"failed",0,1500,88,"2009","Q4",NA
"171","keep the*kickplate*project, the only gallery in town, alive!","photography","photography",2013-09-15,2013-08-21,"successful",1234.3,1201.46,25,"2013","Q2",0.0273334110165964
"172","The 50 States Capitals","places","photography",2015-02-28,2015-01-14,"failed",1,30000,45,"2015","Q3",NA
"173","Broken Pancreas","photography","photography",2010-06-25,2010-05-04,"successful",7981.7,7500,52,"2010","Q4",0.0642266666666666
"174","Castles of England","photography","photography",2013-07-15,2013-06-08,"failed",67.14,15260.19,37,"2013","Q3",NA
"175","La cuna de los colonizadores extremeños","photography","photography",2015-08-24,2015-06-25,"failed",0,394.38,60,"2015","Q4",NA
"176","Aventure Patagonienne","places","photography",2017-05-11,2017-03-27,"failed",54.38,217.52,45,"2017","Q3",NA
"177","NEON ICONS Photography Series - Solo Show","photography","photography",2012-04-27,2012-04-13,"failed",416,1550,14,"2012","Q1",NA
"178","BAFreedom USA","photography","photography",2014-03-20,2014-02-18,"successful",3720,3000,30,"2014","Q2",0.24
"179","WHOSE STREETS?","photography","photography",2015-02-09,2014-12-11,"failed",699.69,7688.88,60,"2014","Q4",NA
"180","Hardback Art-nude Photography Book","photography","photography",2014-03-22,2014-02-20,"failed",266.13,66532.49,30,"2014","Q2",NA
"181","project HOPE.","photography","photography",2012-09-16,2012-08-17,"successful",3050,3000,30,"2012","Q2",0.0166666666666667
"182","Time is a Tree","photography","photography",2011-04-15,2011-03-15,"failed",3084.65,5000,31,"2011","Q3",NA
"183","Photo diary: 30 days in Europe (Canceled)","photobooks","photography",2016-01-19,2015-11-20,"canceled",0,3528.33,60,"2015","Q4",NA
"184","The Dogs of East Town Village Photography Book","photography","photography",2012-12-13,2012-11-13,"failed",70,1513,30,"2012","Q2",NA
"185","The making of ""Dogrobe: A Dog's Wardrobe"" photo book.","photography","photography",2013-11-19,2013-10-20,"successful",3680,3500,30,"2013","Q2",0.0514285714285714
"186","In All Directions Photography (Canceled)","places","photography",2016-05-14,2016-04-14,"canceled",0,15000,30,"2016","Q2",NA
"187","The Lams of Ludlow Street: The Photobook","photobooks","photography",2015-03-06,2015-02-04,"successful",33191,28000,30,"2015","Q2",0.185392857142857
"188","Saving Utah","photography","photography",2015-04-25,2015-03-26,"failed",20,2135,30,"2015","Q2",NA
"189","500 Views of Japan","photobooks","photography",2016-06-09,2016-05-25,"successful",793.07,784.44,15,"2016","Q1",0.0110014787619193
"190","I Heart Boy Book Launch","photography","photography",2011-01-25,2010-12-26,"failed",416,2500,30,"2010","Q2",NA
"191","Women of Fantasy.Women with Swords, Magic, and Kickass poses","photography","photography",2013-03-09,2013-02-27,"successful",667,150,10,"2013","Q1",3.44666666666667
"192","The Big Coffee Table Book Of Pretty Girls in Ugly Pictures","photobooks","photography",2015-01-24,2014-12-10,"failed",321.23,15555.73,45,"2014","Q3",NA
"193","BBQ in B&W","photobooks","photography",2015-02-03,2014-12-05,"failed",0,5000,60,"2014","Q4",NA
