,name,sub_category,main_category,deadline,launched,status,pledged_usd,goal_usd,duration,year,quarter,profit
3919,Shiva Bar Soap Co.,crafts,crafts,28/01/2017,29/12/2016,failed,80,6000,30,2016,Q2,NA
3386,SHNeck Pillow,crafts,crafts,10/11/2015,11/10/2015,failed,95,10000,30,2015,Q2,NA
1806,SHOBI - Shower Bottle Inverter,crafts,crafts,22/09/2017,24/07/2017,successful,2130,2000,60,2017,Q4,0.065
7167,Shoemaking instructional video,crafts,crafts,27/07/2016,24/06/2016,successful,27220,10000,33,2016,Q3,1.722
2493,Shoes to Show your Spirit for Sports,crafts,crafts,04/10/2014,04/09/2014,failed,0,1000,30,2014,Q2,NA
552,Sho-Gun EDC Multi-Tool (Canceled),crafts,crafts,21/09/2015,22/08/2015,canceled,0,4000,30,2015,Q2,NA
4793,Shoji Lamps to Brighten up and Soften up any Room,woodworking,crafts,10/09/2015,18/07/2015,failed,0,4403.07,54,2015,Q4,NA
1156,Shootin' for the moon,crafts,crafts,27/07/2012,02/07/2012,successful,5002,5000,25,2012,Q2,4.00E-04
6587,Shopdawg Wood Working,woodworking,crafts,10/04/2015,11/03/2015,failed,112,1500,30,2015,Q2,NA
5867,"SHORE BOARDS - Wooden Stand Up Paddleboards, Just For You!",woodworking,crafts,20/09/2016,16/08/2016,failed,9720,25000,35,2016,Q3,NA
7197,Shot Glass Candles,crafts,crafts,01/09/2014,02/08/2014,failed,0,600,30,2014,Q2,NA
7292,Shot Glasses- Huichol Art Collection,glass,crafts,27/02/2015,28/01/2015,successful,612,500,30,2015,Q2,0.224
2673,"Shot Jenga, Jello Shot Jenga, Block Tumbling Game Start Up",diy,crafts,04/07/2017,04/06/2017,failed,110,7500,30,2017,Q2,NA
3797,Shower curtain weights,diy,crafts,15/09/2017,16/08/2017,failed,90,5000,30,2017,Q2,NA
3633,ShowMe Needleworks,crafts,crafts,04/01/2015,05/12/2014,failed,11,2500,30,2014,Q2,NA
7034,ShredTooth - Hand Carved Redwood Shark Teeth,woodworking,crafts,14/11/2015,28/10/2015,successful,861,400,17,2015,Q2,1.1525
1048,Shrine for Shrek,crafts,crafts,05/09/2014,06/08/2014,failed,3.32,12.44,30,2014,Q2,NA
4431,Shut the Front Door Wreaths,crafts,crafts,08/05/2015,08/04/2015,failed,0,1500,30,2015,Q2,NA
3983,Shuttle Cuts (Mobile Barbershop),crafts,crafts,29/08/2014,30/07/2014,failed,135,4000,30,2014,Q2,NA
3624,"Si puedes soÒarlo, puedes hacerlo",crafts,crafts,18/06/2016,19/05/2016,failed,276.65,2766.5,30,2016,Q2,NA
670,Sick of Toxic Perfumes? Go Back to Nature with Earth Moods.,crafts,crafts,23/08/2017,24/07/2017,successful,15820,15000,30,2017,Q2,0.054666667
5189,SICK RIDE ULTIMATE WICKED WAX,diy,crafts,10/06/2016,12/05/2016,failed,4,37500,29,2016,Q2,NA
8595,Sidecar Press Calendar 2016: California Landscapes,printing,crafts,03/11/2015,12/10/2015,successful,1416,350,22,2015,Q2,3.045714286
1909,Sidecar Press Calendar 2017: California Flora & Fauna,printing,crafts,05/11/2016,13/10/2016,successful,1155,550,23,2016,Q2,1.1
