"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"15428","Gabriela's Fashion Truck","ready-to-wear","fashion",2015-08-01,2015-07-02,"failed",0,8752.83,30,"2015","Q2",NA
"15429","We are A V I L A. Inspired Accessory Design.","fashion","fashion",2016-05-19,2016-04-19,"failed",71,10000,30,"2016","Q2",NA
"15430","REC Fitness Clothing","apparel","fashion",2014-11-05,2014-10-15,"failed",0,5000,21,"2014","Q2",NA
"15431","Sahara Modelling Agency","fashion","fashion",2014-10-04,2014-09-04,"failed",24.05,8017.06,30,"2014","Q2",NA
"15432","Fuchsia Handmade  | Shoes with a Soul","footwear","fashion",2016-03-19,2016-02-16,"successful",62436.3,10000,32,"2016","Q3",5.24363
"15433","MUSKOKA 550 PARACORD Watch - Strap Made and Woven in the USA","accessories","fashion",2014-08-12,2014-07-29,"failed",55.05,32110.09,14,"2014","Q1",NA
"15434","FIERCE Sportswear","fashion","fashion",2017-03-17,2017-02-15,"failed",1.24,1236.02,30,"2017","Q2",NA
"15435","Best fit underwear, innovative fabric, breathtaking design.","fashion","fashion",2016-12-19,2016-11-14,"canceled",9951,20000,35,"2016","Q3",NA
"15436","NYC Debut Our Lady of Lourdes Spring/Summer 2013 Collection","fashion","fashion",2012-08-12,2012-07-13,"failed",350,2500,30,"2012","Q2",NA
"15437","HopStash | Monthly Mystery Beer Art by Craft Beerd","apparel","fashion",2017-11-09,2017-10-10,"canceled",5756,27500,30,"2017","Q2",NA
"15438","STRY Project: Venice, California Watch Company","jewelry","fashion",2017-09-01,2017-08-02,"successful",5744,5500,30,"2017","Q2",0.0443636363636364
"15439","Shore Enough Apparel","apparel","fashion",2016-01-26,2016-01-06,"failed",20,2500,20,"2016","Q2",NA
"15440","CLÖEK Clothing Surf, Skate, Street,& So Cal Styles","fashion","fashion",2013-04-22,2013-03-11,"failed",55,200,42,"2013","Q3",NA
