"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"950","""GET OUT! South Florida"" Florida's LGBTQ Radio Show","audio","journalism",2016-02-02,2016-01-10,"failed",10,15000,23,"2016","Q2",NA
"951","Lupron: Cash Cow Make$ Million$ On Faked Studies (Canceled)","print","journalism",2016-05-09,2016-04-11,"canceled",20,8000,28,"2016","Q2",NA
"952","Newsbud Phase 3, Support a 100% People-Funded Media Outlet","journalism","journalism",2017-06-14,2017-04-30,"failed",65568,115000,45,"2017","Q3",NA
"953","DCWKLY | DC’s guide to restaurants, nightlife & local news","journalism","journalism",2015-09-01,2015-07-21,"canceled",1740,30000,42,"2015","Q3",NA
"954","Translate the Diary of Badin from Swedish Into English","print","journalism",2015-04-22,2015-03-20,"successful",2013,2000,33,"2015","Q3",0.0065
"955","Environmental Citizen Journalist Award","journalism","journalism",2015-05-22,2015-04-21,"successful",4116.49,3440.83,31,"2015","Q3",0.196365411833773
"956","DharmaReactor - A Buddhist news and culture Show","video","journalism",2017-07-20,2017-06-05,"failed",42.36,1210.27,45,"2017","Q3",NA
"957","The American Gapper: Photojournal & Memoir","print","journalism",2015-05-16,2015-04-03,"failed",25,20000,43,"2015","Q3",NA
"958","Ad Hoc","journalism","journalism",2012-03-05,2012-01-31,"successful",37626.81,33333.33,34,"2012","Q3",0.128804412880441
"959","Setting the Agenda in Europe (Canceled)","print","journalism",2015-09-18,2015-08-19,"canceled",754.1,3090.58,30,"2015","Q2",NA
"960","Qui Vive Magazine","print","journalism",2017-06-19,2017-06-04,"failed",1900,7500,15,"2017","Q1",NA
"961","How to Build a City in 200 Days: Mahabalipuram 2030","journalism","journalism",2010-01-18,2009-11-19,"successful",3425,3000,60,"2009","Q4",0.141666666666667
"962","Restart Europe","print","journalism",2015-02-13,2014-12-15,"successful",9896.76,9863.88,60,"2014","Q4",0.00333337388532718
"963","Dater's Almanac for Men","journalism","journalism",2014-10-04,2014-09-04,"failed",0,800,30,"2014","Q2",NA
"964","Robotics News (Canceled)","journalism","journalism",2014-12-31,2014-11-04,"canceled",0,30879.45,57,"2014","Q4",NA
"965","CobarFM 102.9","audio","journalism",2015-08-21,2015-07-22,"failed",0,7332.99,30,"2015","Q2",NA
"966","Murder & Pedophilia at The Vatican","journalism","journalism",2014-02-24,2014-01-25,"failed",700,20000,30,"2014","Q2",NA
"967","Conscious Company Magazine","print","journalism",2014-08-21,2014-07-22,"failed",41788,50000,30,"2014","Q2",NA
"968","105 Haiku Mental Illness (an in depth book on mental health)","journalism","journalism",2017-07-31,2017-07-05,"failed",18,1000,26,"2017","Q2",NA
"969","Soul Voices","journalism","journalism",2017-08-16,2017-07-17,"failed",1165,3400,30,"2017","Q2",NA
"970","USA Noticias","web","journalism",2017-12-09,2017-11-09,"failed",0,25000,30,"2017","Q2",NA
"971","Greatest YouTube channel yet to be made.","video","journalism",2017-08-05,2017-07-06,"failed",5,2300,30,"2017","Q2",NA
"972","Waiterlogue- The inside voice of SF's restaurant industry.","journalism","journalism",2012-07-26,2012-06-26,"failed",0,20000,30,"2012","Q2",NA
"973","Help “Fighting Irish” Transform Boxing By Empowering Fans","web","journalism",2015-09-13,2015-08-14,"canceled",68.51,6280.47,30,"2015","Q2",NA
"974","ZEITGEIST","print","journalism",2017-04-20,2017-03-21,"failed",1.28,447.24,30,"2017","Q2",NA
"975","Female Body Art at The Gathering","journalism","journalism",2016-01-28,2015-12-14,"failed",0,1500,45,"2015","Q3",NA
"976","Transparency Pt. 1 (Pre-Walk)","journalism","journalism",2016-03-29,2016-03-10,"successful",946,750,19,"2016","Q2",0.261333333333333
"977","Ebonically Speaking","web","journalism",2015-04-01,2015-01-31,"failed",0,1e+05,60,"2015","Q4",NA
"978","Project Persona - See Beneath the Mask (Canceled)","web","journalism",2014-08-13,2014-07-14,"canceled",0,250,30,"2014","Q2",NA
"979","EconSportsCoach","web","journalism",2015-05-11,2015-03-16,"failed",0,10000,56,"2015","Q4",NA
"980","East Haddam Informer - A News Website","web","journalism",2015-08-15,2015-07-16,"failed",223,22000,30,"2015","Q2",NA
"981","Book - All In","journalism","journalism",2015-06-01,2015-05-02,"failed",0,5000,30,"2015","Q2",NA
"982","Telling the BIG story of a small frog","journalism","journalism",2009-10-20,2009-09-15,"successful",2132.11,2000,35,"2009","Q3",0.0660550000000001
"983","The Voyages of the Karol Anne","journalism","journalism",2012-04-19,2012-03-20,"successful",5091,5000,30,"2012","Q2",0.0182
"984","Be a hero in a travel story - personalised hotel reviews","web","journalism",2017-08-06,2017-07-07,"failed",32.45,1297.93,30,"2017","Q2",NA
"985","Plastic Soup Trip","web","journalism",2014-08-17,2014-07-23,"failed",431.18,6633.5,25,"2014","Q2",NA
"986","Without Pain and Suffering We'd Cease to Exist","print","journalism",2014-09-07,2014-07-09,"failed",3,12000,60,"2014","Q4",NA
"987","The Allrounder","journalism","journalism",2014-05-20,2014-04-20,"failed",15463.57,55000,30,"2014","Q2",NA
"988","The Opening Question","journalism","journalism",2014-11-22,2014-10-23,"failed",57,250,30,"2014","Q2",NA
"989","UGLY","print","journalism",2015-11-25,2015-10-26,"failed",0,22577.78,30,"2015","Q2",NA
"990","First Travels, changing lives on the backroads of America.","print","journalism",2015-04-06,2015-03-11,"failed",0,8500,26,"2015","Q2",NA
"991","Tiny News: Spread the News Around the World","journalism","journalism",2012-03-31,2012-03-02,"failed",20,35000,29,"2012","Q2",NA
"992","The MagPi Magazine for Raspberry Pi - Volume 2 Binder","journalism","journalism",2014-02-27,2014-02-12,"successful",17628.77,2507.65,15,"2014","Q1",6.02999621159253
"993","Texas...Austin..The growing city in the middle of nowhere.","journalism","journalism",2012-06-07,2012-05-08,"failed",0,7000,30,"2012","Q2",NA
"994","Spirit Life Inspiration","web","journalism",2017-09-17,2017-08-18,"failed",0,100,30,"2017","Q2",NA
"995","Galumphing Gardener","web","journalism",2016-03-11,2016-02-10,"failed",6,500,30,"2016","Q2",NA
"996","Katie: Healing An Abused Kitty","print","journalism",2016-05-01,2016-03-02,"failed",71,1000,60,"2016","Q4",NA
"997","A People Forgotten","print","journalism",2016-02-27,2016-01-28,"failed",30,2000,30,"2016","Q2",NA
