"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"12268","Steve's Comfort Foods","food trucks","food",2015-01-10,2014-11-11,"failed",14,80000,60,"2014","Q4",NA
"12269","Not Just Another Cupcake Shoppe","food","food",2012-06-08,2012-05-09,"failed",470,8000,30,"2012","Q2",NA
"12270","ROOT community coffee house, incubator kitchen & apprentice","spaces","food",2015-01-17,2014-12-03,"failed",1621,10000,45,"2014","Q3",NA
"12271","Prosperity Luxury Tea","drinks","food",2015-02-20,2015-01-21,"failed",0.78,94154.57,30,"2015","Q2",NA
"12272","Seally Cap - Saving Time & Money One Cap At A Time!","food","food",2014-06-18,2014-05-19,"failed",8149,15000,30,"2014","Q2",NA
"12273","Backyard Harvest: Growing a sustainable (& delicious) food system, one yard at a time","food","food",2010-09-01,2010-07-13,"successful",8202,8200,50,"2010","Q4",0.00024390243902439
"12274","? Fruit Salad ? (Canceled)","food","food",2014-08-22,2014-07-23,"canceled",0,91.27,30,"2014","Q2",NA
"12275","auNaturel Beverages - Iced Teas & Lemonades","drinks","food",2015-11-11,2015-10-12,"failed",20,5500,30,"2015","Q2",NA
"12276","Restoration","food","food",2016-08-16,2016-07-17,"failed",20.94,2617.6,30,"2016","Q2",NA
"12277","Suga Stix *A Unique Way to Sweeten Your Beverage*","drinks","food",2016-03-25,2016-02-14,"failed",1995,20000,40,"2016","Q3",NA
"12278","The smartest way to start learning how to brew beer","food","food",2015-08-17,2015-07-18,"failed",10,5700,30,"2015","Q2",NA
"12279","Help Us Start Our First Fast-Casual Eatery","restaurants","food",2016-05-09,2016-03-25,"failed",18,50000,45,"2016","Q3",NA
"12280","Kinetic Farms","farms","food",2015-04-29,2015-04-04,"failed",2,25000,25,"2015","Q2",NA
"12281","Dough For Dough","small batch","food",2014-12-12,2014-11-04,"failed",71,500,38,"2014","Q3",NA
"12282","Deadly Grounds Cafe and Curiosities","food","food",2017-05-17,2017-04-17,"successful",2552.14,2210.92,30,"2017","Q2",0.154333942431205
